"","st_icpsr_MI_rate_black","vra2_x_post1965","state","year","st_census_urban_perc"
"1",176.174499511719,0,"Georgia","1946",0.409138679504395
"2",135.707412719727,0,"Kentucky","1946",0.34026468396187
"3",125.117149353027,0,"Oklahoma","1946",0.456726050376894
"4",79.5200347900391,0,"Alabama","1946",0.383633762598038
"5",60.2823333740234,0,"North Carolina","1946",0.311188054084777
"6",128.75537109375,0,"New Mexico","1946",0.43381880521774
"7",103.100212097168,0,"Missouri","1946",0.576316928863527
"8",59.7203102111816,0,"Louisiana","1946",0.494955813884737
"9",88.184928894043,0,"West Virginia","1946",0.320135110616683
"10",94.120446733014,0,"Mississippi","1946",0.2464819252491
"11",437.005645751953,0,"Maryland","1946",0.651080763339998
"12",79.1718673706055,0,"Texas","1946",0.557985734939578
"13",82.7505798339844,0,"Arizona","1946",0.472374188899991
"14",55.6618194580078,0,"Tennessee","1946",0.405687814950944
"15",139.462524414062,0,"Virginia","1946",0.423174166679381
"16",20.2340316772461,0,"South Carolina","1946",0.31861426234245
"17",171.568634033203,0,"Delaware","1946",0.584876358509064
"18",95.7820739746094,0,"Florida","1946",0.613181936740872
"19",56.4989902346247,0,"West Virginia","1947",0.326671886444091
"20",130.769699351066,0,"Delaware","1947",0.595157891511917
"21",396.741284233745,0,"Maryland","1947",0.660728555917739
"22",123.809635843278,0,"Virginia","1947",0.434905889630318
"23",124.813745992645,0,"Kentucky","1947",0.34723089337349
"24",75.5173288364774,0,"Georgia","1947",0.420035287737846
"25",-7.54545717856388,0,"South Carolina","1947",0.330825491249559
"26",181.86474709565,0,"Oklahoma","1947",0.470097374916076
"27",65.425895690918,0,"Louisiana","1947",0.508322057127952
"28",42.1389019227405,0,"Tennessee","1947",0.414588344097137
"29",53.9130091231129,0,"North Carolina","1947",0.317593702673912
"30",112.257685114778,0,"Missouri","1947",0.586025846004485
"31",64.5173891646381,0,"New Mexico","1947",0.450839555263521
"32",48.3477226647006,0,"Alabama","1947",0.397216632962227
"33",97.0433390889912,0,"Arizona","1947",0.493023714423181
"34",72.2056627489156,0,"Mississippi","1947",0.254524819552898
"35",96.878666725175,0,"Texas","1947",0.575341144204138
"36",136.423855231813,0,"Florida","1947",0.623517847061155
"37",96.9325660653372,0,"Arizona","1948",0.513673239946364
"38",67.5944552615485,0,"Alabama","1948",0.410799503326416
"39",454.598874515288,0,"Maryland","1948",0.670376348495484
"40",62.6706123352051,0,"Louisiana","1948",0.521688300371171
"41",42.8726171615638,0,"Mississippi","1948",0.262567713856697
"42",109.78185029991,0,"Georgia","1948",0.430931895971298
"43",51.2059916518877,0,"Tennessee","1948",0.423488873243333
"44",69.3719026638654,0,"Missouri","1948",0.595734763145447
"45",110.728233681205,0,"Oklahoma","1948",0.483468699455262
"46",121.995843899462,0,"Virginia","1948",0.446637612581252
"47",67.0158285302123,0,"North Carolina","1948",0.323999351263046
"48",114.168973716858,0,"Kentucky","1948",0.354197102785111
"49",95.2345188635461,0,"Delaware","1948",0.60543942451477
"50",50.6283864837506,0,"West Virginia","1948",0.333208662271499
"51",50.1464940186265,0,"New Mexico","1948",0.467860305309294
"52",117.628465845983,0,"Texas","1948",0.592696553468706
"53",-15.7227506789991,0,"South Carolina","1948",0.343036720156668
"54",111.752257672769,0,"Florida","1948",0.633853757381438
"55",60.0498504638672,0,"Louisiana","1949",0.53505454361439
"56",127.073341369629,0,"Virginia","1949",0.458369335532186
"57",72.516489363287,0,"South Carolina","1949",0.355247949063777
"58",88.9707353032762,0,"Alabama","1949",0.424382373690605
"59",110.956324751611,0,"West Virginia","1949",0.339745438098907
"60",53.7965748919823,0,"Tennessee","1949",0.432389402389528
"61",428.055023337106,0,"Maryland","1949",0.680024141073229
"62",119.520519082855,0,"Texas","1949",0.610051962733273
"63",79.3179893579176,0,"Mississippi","1949",0.270610608160496
"64",113.236538932624,0,"Arizona","1949",0.534322765469547
"65",137.648496253221,0,"Missouri","1949",0.60544368028641
"66",134.405754865923,0,"Kentucky","1949",0.361163312196732
"67",106.486852619651,0,"Georgia","1949",0.44182850420475
"68",133.160050258189,0,"New Mexico","1949",0.484881055355068
"69",129.783589652162,0,"Oklahoma","1949",0.496840023994448
"70",142.960761815731,0,"Delaware","1949",0.615720957517624
"71",110.974863311594,0,"North Carolina","1949",0.330404999852179
"72",104.362411499023,0,"Florida","1949",0.64418966770172
"73",80.3662261962891,0,"Alabama","1950",0.437965244054794
"74",72.4605026245117,0,"Louisiana","1950",0.548420786857605
"75",22.2087364196777,0,"South Carolina","1950",0.367459177970886
"76",62.9699249267578,0,"Tennessee","1950",0.441289931535721
"77",136.453201293945,0,"Kentucky","1950",0.368129521608353
"78",92.1568603515625,0,"New Mexico","1950",0.501901805400848
"79",80.0751876831055,0,"Georgia","1950",0.452725112438202
"80",53.6363639831543,0,"Mississippi","1950",0.278653502464294
"81",102.222221374512,0,"Delaware","1950",0.626002490520477
"82",382.474212646484,0,"Maryland","1950",0.68967193365097
"83",83.1578979492188,0,"Arizona","1950",0.554972290992737
"84",80.1724166870117,0,"West Virginia","1950",0.346282213926315
"85",127.951148986816,0,"Virginia","1950",0.470101058483124
"86",88.3130035400391,0,"Texas","1950",0.627407371997833
"87",58.256031036377,0,"North Carolina","1950",0.336810648441315
"88",138.127090454102,0,"Missouri","1950",0.615152597427368
"89",141.293533325195,0,"Oklahoma","1950",0.51021134853363
"90",102.479339599609,0,"Florida","1950",0.654525578022003
"91",63.2560577392578,0,"Louisiana","1951",0.554890251159669
"92",50.7999954223633,0,"North Carolina","1951",0.343061700463295
